depth,temperature,conductivity,conductivity2,fluorescence,par,pH,oxygen,pressure,beamAttenuation,beamTransmission,oxygen2,flag,salinity,scan,SiteNum,Date
0.5,23.79,502.488482,514.907,1.8415,1528.9,7.86,7.1587,0.49,9.1651,13.4402,84.825,0,8173914.51395187,2,1,2020-08-11
0.75,23.7945,491.642022,503.731,2.1225,565.02,7.487,2.2622,0.735,9.8291,8.5834,26.807,0,7729042.612953121,3,1,2020-08-11
1,23.8007,485.147651,497.008,2.0879,374.87,7.387,1.4122,0.981,9.787,8.6576,16.73,0,7468455.974098932,4,1,2020-08-11
1.25,23.7952,490.019053,502.078,2.1284,214.78,7.394,1.3879,1.226,9.9018,8.4126,16.442,0,7663763.539376426,5,1,2020-08-11
1.5,23.7922,492.879818,505.034,2.1264,116.63,7.397,1.3558,1.47,9.943,8.3266,16.062,0,7779807.888057496,6,1,2020-08-11
1.75,23.7893,493.698737,505.887,2.1186,56.979,7.4,1.2894,1.716,9.9195,8.3768,15.274,0,7814099.345854629,7,1,2020-08-11
2,23.7847,498.765458,511.132,2.1249,32.809,7.399,1.2774,1.961,9.7409,8.76,15.132,0,8022515.703370993,8,1,2020-08-11
2.25,23.779,507.108012,519.766,2.1237,18.279,7.395,1.2691,2.207,9.5743,9.1316,15.035,0,8372176.011727184,9,1,2020-08-11
2.5,23.7768,506.636258,519.272,2.1568,9.7828,7.392,1.2491,2.452,9.4553,9.4062,14.798,0,8353316.513554934,10,1,2020-08-11
2.75,23.7721,513.588663,526.479,2.1589,5.8872,7.39,1.2748,2.697,9.3862,9.5699,15.102,0,8651287.686052075,11,1,2020-08-11
3,23.7729,511.98913,524.809,2.2146,3.3788,7.388,1.2797,2.942,9.495,9.3146,15.159,0,8582300.09337101,12,1,2020-08-11
3.25,23.7757,509.00786,521.72,2.2288,1.8067,7.39,1.2628,3.187,9.3918,9.5595,14.958,0,8454008.286334416,13,1,2020-08-11
3.5,23.7747,510.688096,523.457,2.1989,1.0842,7.39,1.2068,3.432,9.316,9.7392,14.295,0,8525895.8231547,14,1,2020-08-11
3.75,23.7718,512.894424,525.754,2.2095,0.61741,7.39,1.2025,3.677,9.3382,9.6853,14.245,0,8621608.214714633,15,1,2020-08-11
0.5,25.4461,685.559484,679.066,2.1914,1731.7,8.077,8.5206,0.491,6.4301,20.0207,103.518,0,16500261.445043614,2,2,2020-08-11
0.75,25.3145,682.820077,679.027,2.2164,1064.1,8.066,8.278,0.735,6.5801,19.3055,100.569,0,16448347.18412918,3,2,2020-08-11
1,25.1625,669.1337,667.057,2.2382,652.14,8.05,5.5663,0.981,6.7715,18.4015,67.606,0,15749449.286955914,4,2,2020-08-11
1.25,25.1013,662.522665,661.081,2.2206,413.7,8.035,4.4989,1.226,6.8315,18.1254,54.601,0,15406659.17685873,5,2,2020-08-11
1.5,25.0767,663.692514,662.603,2.1748,272.79,8.034,4.2287,1.471,6.9168,17.7456,51.33,0,15496553.77673402,6,2,2020-08-11
1.75,25.0692,660.75121,659.764,2.1843,171.22,8.026,3.6621,1.716,6.974,17.4918,44.447,0,15328370.037536765,7,2,2020-08-11
2,24.7356,641.287084,644.721,2.1959,89.58,8.024,5.1338,1.961,7.1468,16.7506,61.993,0,14461891.533124086,8,2,2020-08-11
2.25,24.904,649.751086,651.177,2.1939,70.967,8.023,4.5484,2.206,7.2828,16.1915,55.033,0,14817841.303174965,9,2,2020-08-11
2.5,24.9733,655.835678,655.963,2.1952,51.133,8.022,4.5986,2.452,7.2039,16.5142,55.416,0,15117372.929072347,10,2,2020-08-11
2.75,24.8923,651.849552,653.048,2.2052,34.449,8.023,4.6087,2.697,7.1663,16.67,55.528,0,14949516.898258,11,2,2020-08-11
3,24.7907,641.567823,644.886,2.2174,22.082,8.024,4.6136,2.942,7.2047,16.512,55.585,0,14434960.166964937,12,2,2020-08-11
3.25,24.7494,641.628558,644.866,2.2326,14.393,8.025,4.6157,3.188,7.2717,16.236,55.602,0,14470714.585046506,13,2,2020-08-11
3.5,24.7409,642.372652,645.576,2.1699,9.2872,8.026,4.613,3.432,7.3399,15.9645,55.618,0,14520189.195745999,14,2,2020-08-11
3.75,24.682,638.224868,642.322,2.1869,5.5065,8.026,4.6293,3.678,7.5817,15.0208,55.832,0,14328053.276525106,15,2,2020-08-11
4,24.6677,637.761976,642.037,2.1826,3.9132,8.026,4.6176,3.922,7.4583,15.4971,55.656,0,14312661.773996435,16,2,2020-08-11
4.25,24.6727,637.828468,642.027,2.2109,2.4049,8.028,4.5986,4.168,7.5688,15.0757,55.433,0,14312588.707954321,17,2,2020-08-11
4.5,24.7049,640.389289,643.999,2.2331,1.6299,8.03,4.585,4.413,7.6514,14.7666,55.268,0,14434299.808892593,18,2,2020-08-11
4.75,24.727,642.136534,645.392,2.2089,0.94574,8.03,4.604,4.658,7.7541,14.3938,55.5,0,14517499.339053124,19,2,2020-08-11
5,24.7038,640.091188,643.863,2.2079,0.56211,8.031,4.6136,4.903,7.7856,14.2799,55.617,0,14418040.111894371,20,2,2020-08-11
0.5,25.4386,696.689002,690.608,2.7083,1876.2,8.335,8.9051,0.491,6.0795,17.8705,108.802,0,17197995.525153596,2,3,2020-08-11
0.75,25.4296,697.195624,691.214,2.6188,1048,8.321,8.8818,0.735,7.1056,16.934,108.523,0,17238161.42022882,3,3,2020-08-11
1,25.4196,697.666065,691.816,2.7263,677.31,8.311,8.8439,0.981,7.2943,16.1441,108.079,0,17277041.5378129,4,3,2020-08-11
1.25,25.4062,698.070177,692.342,2.9221,247.39,8.305,4.0612,1.226,7.9763,13.5519,49.599,0,17314951.76777539,5,3,2020-08-11
1.5,25.4164,699.846962,693.984,2.7949,271.62,8.311,6.436,1.471,7.7267,14.4909,78.634,0,17417897.686159365,6,3,2020-08-11
1.75,25.4151,699.802212,693.976,2.7927,174.73,8.311,6.4778,1.716,7.6622,14.7276,79.138,0,17416272.194289647,7,3,2020-08-11
2,25.4138,699.795675,693.955,2.7954,109.36,8.311,6.5079,1.961,7.597,14.9682,79.498,0,17417068.686561152,8,3,2020-08-11
2.25,25.4119,700.046802,694.274,2.8064,68.877,8.31,6.5017,2.207,7.555,15.1261,79.419,0,17434762.39445194,9,3,2020-08-11
2.5,25.4143,700.2447,694.406,2.8307,42.946,8.31,6.4948,2.452,7.5686,15.0752,79.333,0,17445075.048757304,10,3,2020-08-11
2.75,25.4188,700.114759,694.167,2.8429,28.336,8.31,6.4919,2.697,7.7325,14.4702,79.298,0,17432632.464213297,11,3,2020-08-11
3,25.4187,700.157794,694.254,2.8417,18.093,8.31,6.4847,2.942,7.7551,14.3882,79.213,0,17435453.88362589,12,3,2020-08-11
3.25,25.4153,700.126763,694.277,2.8199,11.338,8.311,6.4677,3.187,7.7546,14.39,79.005,0,17436657.519386876,13,3,2020-08-11
3.5,25.4121,700.166147,694.35,2.8583,7.6203,8.311,6.4688,3.432,7.7336,14.465,79.018,0,17442141.540219292,14,3,2020-08-11
3.75,25.4077,700.286482,694.566,2.8718,4.8865,8.311,6.4796,3.677,7.6442,14.7938,79.151,0,17453885.71194426,15,3,2020-08-11
4,25.4044,700.344027,694.654,2.8601,3.0381,8.311,6.4825,3.923,7.5955,14.9736,79.182,0,17460621.43241024,16,3,2020-08-11
4.25,25.4028,700.378532,694.704,2.9148,1.9949,8.312,6.4867,4.168,7.5862,15.0086,79.231,0,17464307.03345526,17,3,2020-08-11
4.5,25.4022,700.413448,694.748,2.874,1.2053,8.312,6.4861,4.413,7.6424,14.8,79.225,0,17467084.424185526,18,3,2020-08-11
4.75,25.4032,700.32551,694.636,2.8158,0.80555,8.312,6.5025,4.658,7.7689,14.3413,79.425,0,17460564.47758293,19,3,2020-08-11
5,25.4033,700.320601,694.628,2.9232,0.46245000000000003,8.312,6.4803,4.903,7.8366,14.098,79.154,0,17460158.39625434,20,3,2020-08-11
5.25,25.4013,700.223748,694.576,2.9819,0.28172,8.312,6.4447,5.149,7.7002,14.5875,78.719,0,17455877.320892055,21,3,2020-08-11
5.5,25.4004,700.159895,694.516,2.9263,0.15569,8.313,6.4626,5.394,7.7613,14.366,78.938,0,17452663.6898046,22,3,2020-08-11
5.75,25.4004,700.101102,694.454,2.9294,0.072094,8.313,6.4794,5.639,8.0233,13.4627,79.143,0,17448930.80767845,23,3,2020-08-11
6,25.4004,700.127173,694.481,2.9096,0.018057,8.313,6.4681,5.884,8.3208,12.4913,79.006,0,17450584.702838846,24,3,2020-08-11
0.5,23.7713,564.400467,578.562,-4.2472,1003.5,8.108,4.8154,0.49,4.1366,28.7771,57.019,0,11006365.201305524,2,4,2020-08-11
0.75,23.8548,564.231136,577.362,1.8534,1311.1,8.041,4.3141,0.736,5.6273,24.4983,51.048,0,10947660.785064152,3,4,2020-08-11
