grid,id,name,year,month,paramerter,day,value,date
cty,47079,WI: Milwaukee County,2020,07,PRCP,01,0,2020-07-01
cty,47079,WI: Milwaukee County,2020,07,PRCP,02,0,2020-07-02
cty,47079,WI: Milwaukee County,2020,07,PRCP,03,0,2020-07-03
cty,47079,WI: Milwaukee County,2020,07,PRCP,04,0,2020-07-04
cty,47079,WI: Milwaukee County,2020,07,PRCP,05,0,2020-07-05
cty,47079,WI: Milwaukee County,2020,07,PRCP,06,0.08,2020-07-06
cty,47079,WI: Milwaukee County,2020,07,PRCP,07,0.28,2020-07-07
cty,47079,WI: Milwaukee County,2020,07,PRCP,08,15.9,2020-07-08
cty,47079,WI: Milwaukee County,2020,07,PRCP,09,0.42,2020-07-09
cty,47079,WI: Milwaukee County,2020,07,PRCP,10,45.49,2020-07-10
cty,47079,WI: Milwaukee County,2020,07,PRCP,11,0.58,2020-07-11
cty,47079,WI: Milwaukee County,2020,07,PRCP,12,0,2020-07-12
cty,47079,WI: Milwaukee County,2020,07,PRCP,13,0,2020-07-13
cty,47079,WI: Milwaukee County,2020,07,PRCP,14,0,2020-07-14
cty,47079,WI: Milwaukee County,2020,07,PRCP,15,3.43,2020-07-15
cty,47079,WI: Milwaukee County,2020,07,PRCP,16,27.95,2020-07-16
cty,47079,WI: Milwaukee County,2020,07,PRCP,17,0,2020-07-17
cty,47079,WI: Milwaukee County,2020,07,PRCP,18,0,2020-07-18
cty,47079,WI: Milwaukee County,2020,07,PRCP,19,4.08,2020-07-19
cty,47079,WI: Milwaukee County,2020,07,PRCP,20,0,2020-07-20
cty,47079,WI: Milwaukee County,2020,07,PRCP,21,0,2020-07-21
cty,47079,WI: Milwaukee County,2020,07,PRCP,22,0,2020-07-22
cty,47079,WI: Milwaukee County,2020,07,PRCP,23,0,2020-07-23
cty,47079,WI: Milwaukee County,2020,07,PRCP,24,0,2020-07-24
cty,47079,WI: Milwaukee County,2020,07,PRCP,25,0,2020-07-25
cty,47079,WI: Milwaukee County,2020,07,PRCP,26,0,2020-07-26
cty,47079,WI: Milwaukee County,2020,07,PRCP,27,16.17,2020-07-27
cty,47079,WI: Milwaukee County,2020,07,PRCP,28,0.01,2020-07-28
cty,47079,WI: Milwaukee County,2020,07,PRCP,29,0,2020-07-29
cty,47079,WI: Milwaukee County,2020,07,PRCP,30,0,2020-07-30
cty,47079,WI: Milwaukee County,2020,07,PRCP,31,0,2020-07-31
cty,47117,WI: Sheboygan County,2020,07,PRCP,01,0,2020-07-01
cty,47117,WI: Sheboygan County,2020,07,PRCP,02,0,2020-07-02
cty,47117,WI: Sheboygan County,2020,07,PRCP,03,0,2020-07-03
cty,47117,WI: Sheboygan County,2020,07,PRCP,04,0,2020-07-04
cty,47117,WI: Sheboygan County,2020,07,PRCP,05,0.01,2020-07-05
cty,47117,WI: Sheboygan County,2020,07,PRCP,06,0.17,2020-07-06
cty,47117,WI: Sheboygan County,2020,07,PRCP,07,10.03,2020-07-07
cty,47117,WI: Sheboygan County,2020,07,PRCP,08,15.06,2020-07-08
cty,47117,WI: Sheboygan County,2020,07,PRCP,09,0.34,2020-07-09
cty,47117,WI: Sheboygan County,2020,07,PRCP,10,61.09,2020-07-10
cty,47117,WI: Sheboygan County,2020,07,PRCP,11,1.25,2020-07-11
cty,47117,WI: Sheboygan County,2020,07,PRCP,12,0,2020-07-12
cty,47117,WI: Sheboygan County,2020,07,PRCP,13,0,2020-07-13
cty,47117,WI: Sheboygan County,2020,07,PRCP,14,0,2020-07-14
cty,47117,WI: Sheboygan County,2020,07,PRCP,15,8.26,2020-07-15
cty,47117,WI: Sheboygan County,2020,07,PRCP,16,42.31,2020-07-16
cty,47117,WI: Sheboygan County,2020,07,PRCP,17,0,2020-07-17
cty,47117,WI: Sheboygan County,2020,07,PRCP,18,0,2020-07-18
cty,47117,WI: Sheboygan County,2020,07,PRCP,19,7.82,2020-07-19
cty,47117,WI: Sheboygan County,2020,07,PRCP,20,0,2020-07-20
cty,47117,WI: Sheboygan County,2020,07,PRCP,21,0,2020-07-21
cty,47117,WI: Sheboygan County,2020,07,PRCP,22,0,2020-07-22
cty,47117,WI: Sheboygan County,2020,07,PRCP,23,0,2020-07-23
cty,47117,WI: Sheboygan County,2020,07,PRCP,24,0,2020-07-24
cty,47117,WI: Sheboygan County,2020,07,PRCP,25,0,2020-07-25
cty,47117,WI: Sheboygan County,2020,07,PRCP,26,0,2020-07-26
cty,47117,WI: Sheboygan County,2020,07,PRCP,27,26.17,2020-07-27
cty,47117,WI: Sheboygan County,2020,07,PRCP,28,0.01,2020-07-28
cty,47117,WI: Sheboygan County,2020,07,PRCP,29,7.42,2020-07-29
cty,47117,WI: Sheboygan County,2020,07,PRCP,30,0,2020-07-30
cty,47117,WI: Sheboygan County,2020,07,PRCP,31,0,2020-07-31
cty,47079,WI: Milwaukee County,2020,08,PRCP,01,0,2020-08-01
cty,47079,WI: Milwaukee County,2020,08,PRCP,02,0,2020-08-02
cty,47079,WI: Milwaukee County,2020,08,PRCP,03,34.88,2020-08-03
cty,47079,WI: Milwaukee County,2020,08,PRCP,04,0.02,2020-08-04
cty,47079,WI: Milwaukee County,2020,08,PRCP,05,0,2020-08-05
cty,47079,WI: Milwaukee County,2020,08,PRCP,06,0,2020-08-06
cty,47079,WI: Milwaukee County,2020,08,PRCP,07,0,2020-08-07
cty,47079,WI: Milwaukee County,2020,08,PRCP,08,0,2020-08-08
cty,47079,WI: Milwaukee County,2020,08,PRCP,09,0,2020-08-09
cty,47079,WI: Milwaukee County,2020,08,PRCP,10,11.96,2020-08-10
cty,47079,WI: Milwaukee County,2020,08,PRCP,11,27.6,2020-08-11
cty,47079,WI: Milwaukee County,2020,08,PRCP,12,0,2020-08-12
cty,47079,WI: Milwaukee County,2020,08,PRCP,13,0.01,2020-08-13
cty,47079,WI: Milwaukee County,2020,08,PRCP,14,0,2020-08-14
cty,47079,WI: Milwaukee County,2020,08,PRCP,15,0,2020-08-15
cty,47079,WI: Milwaukee County,2020,08,PRCP,16,0,2020-08-16
cty,47079,WI: Milwaukee County,2020,08,PRCP,17,0,2020-08-17
cty,47079,WI: Milwaukee County,2020,08,PRCP,18,0.01,2020-08-18
cty,47079,WI: Milwaukee County,2020,08,PRCP,19,0,2020-08-19
cty,47079,WI: Milwaukee County,2020,08,PRCP,20,0,2020-08-20
cty,47079,WI: Milwaukee County,2020,08,PRCP,21,0,2020-08-21
cty,47079,WI: Milwaukee County,2020,08,PRCP,22,0,2020-08-22
cty,47079,WI: Milwaukee County,2020,08,PRCP,23,0,2020-08-23
cty,47079,WI: Milwaukee County,2020,08,PRCP,24,0.11,2020-08-24
cty,47079,WI: Milwaukee County,2020,08,PRCP,25,22.53,2020-08-25
cty,47079,WI: Milwaukee County,2020,08,PRCP,26,17.42,2020-08-26
cty,47079,WI: Milwaukee County,2020,08,PRCP,27,0,2020-08-27
cty,47079,WI: Milwaukee County,2020,08,PRCP,28,1.88,2020-08-28
cty,47079,WI: Milwaukee County,2020,08,PRCP,29,10.53,2020-08-29
cty,47079,WI: Milwaukee County,2020,08,PRCP,30,0,2020-08-30
cty,47079,WI: Milwaukee County,2020,08,PRCP,31,0,2020-08-31
cty,47117,WI: Sheboygan County,2020,08,PRCP,01,0,2020-08-01
cty,47117,WI: Sheboygan County,2020,08,PRCP,02,0,2020-08-02
cty,47117,WI: Sheboygan County,2020,08,PRCP,03,17.72,2020-08-03
cty,47117,WI: Sheboygan County,2020,08,PRCP,04,0,2020-08-04
cty,47117,WI: Sheboygan County,2020,08,PRCP,05,0,2020-08-05
cty,47117,WI: Sheboygan County,2020,08,PRCP,06,0,2020-08-06
cty,47117,WI: Sheboygan County,2020,08,PRCP,07,0,2020-08-07
cty,47117,WI: Sheboygan County,2020,08,PRCP,08,0,2020-08-08
cty,47117,WI: Sheboygan County,2020,08,PRCP,09,5.55,2020-08-09
cty,47117,WI: Sheboygan County,2020,08,PRCP,10,4.36,2020-08-10
cty,47117,WI: Sheboygan County,2020,08,PRCP,11,6.01,2020-08-11
cty,47117,WI: Sheboygan County,2020,08,PRCP,12,0,2020-08-12
cty,47117,WI: Sheboygan County,2020,08,PRCP,13,0,2020-08-13
cty,47117,WI: Sheboygan County,2020,08,PRCP,14,0,2020-08-14
cty,47117,WI: Sheboygan County,2020,08,PRCP,15,0,2020-08-15
cty,47117,WI: Sheboygan County,2020,08,PRCP,16,0,2020-08-16
cty,47117,WI: Sheboygan County,2020,08,PRCP,17,0,2020-08-17
cty,47117,WI: Sheboygan County,2020,08,PRCP,18,0,2020-08-18
cty,47117,WI: Sheboygan County,2020,08,PRCP,19,0,2020-08-19
cty,47117,WI: Sheboygan County,2020,08,PRCP,20,0,2020-08-20
cty,47117,WI: Sheboygan County,2020,08,PRCP,21,0,2020-08-21
cty,47117,WI: Sheboygan County,2020,08,PRCP,22,0,2020-08-22
cty,47117,WI: Sheboygan County,2020,08,PRCP,23,0.01,2020-08-23
cty,47117,WI: Sheboygan County,2020,08,PRCP,24,0,2020-08-24
cty,47117,WI: Sheboygan County,2020,08,PRCP,25,9.96,2020-08-25
cty,47117,WI: Sheboygan County,2020,08,PRCP,26,17.55,2020-08-26
cty,47117,WI: Sheboygan County,2020,08,PRCP,27,0,2020-08-27
cty,47117,WI: Sheboygan County,2020,08,PRCP,28,12.44,2020-08-28
cty,47117,WI: Sheboygan County,2020,08,PRCP,29,19.16,2020-08-29
cty,47117,WI: Sheboygan County,2020,08,PRCP,30,0,2020-08-30
cty,47117,WI: Sheboygan County,2020,08,PRCP,31,0,2020-08-31
cty,47079,WI: Milwaukee County,2020,09,PRCP,01,1.13,2020-09-01
cty,47079,WI: Milwaukee County,2020,09,PRCP,02,6.83,2020-09-02
cty,47079,WI: Milwaukee County,2020,09,PRCP,03,0,2020-09-03
cty,47079,WI: Milwaukee County,2020,09,PRCP,04,0,2020-09-04
cty,47079,WI: Milwaukee County,2020,09,PRCP,05,0,2020-09-05
cty,47079,WI: Milwaukee County,2020,09,PRCP,06,1.92,2020-09-06
cty,47079,WI: Milwaukee County,2020,09,PRCP,07,1.39,2020-09-07
cty,47079,WI: Milwaukee County,2020,09,PRCP,08,10.94,2020-09-08
cty,47079,WI: Milwaukee County,2020,09,PRCP,09,14.81,2020-09-09
cty,47079,WI: Milwaukee County,2020,09,PRCP,10,3.72,2020-09-10
cty,47079,WI: Milwaukee County,2020,09,PRCP,11,4.2,2020-09-11
cty,47079,WI: Milwaukee County,2020,09,PRCP,12,11.32,2020-09-12
cty,47079,WI: Milwaukee County,2020,09,PRCP,13,3.97,2020-09-13
cty,47079,WI: Milwaukee County,2020,09,PRCP,14,0.01,2020-09-14
cty,47079,WI: Milwaukee County,2020,09,PRCP,15,0,2020-09-15
cty,47079,WI: Milwaukee County,2020,09,PRCP,16,0,2020-09-16
